node_id,feature_id,value
0,0,1.0
0,2,1.0
0,3,1.0
1,2,1.0
2,0,1.0
2,2,1.0
2,3,1.0
3,2,1.0
4,2,1.0
5,0,1.0
5,2,1.0
5,3,1.0
6,2,1.0
7,0,1.0
8,2,1.0
9,3,1.0
10,2,1.0
11,2,1.0
13,2,1.0
15,0,1.0
15,2,1.0
15,3,1.0
16,2,1.0
17,0,1.0
17,2,1.0
18,2,1.0
19,0,1.0
19,2,1.0
19,3,1.0
20,0,1.0
20,2,1.0
20,3,1.0
21,2,1.0
22,0,1.0
23,3,1.0
24,0,1.0
24,2,1.0
24,3,1.0
26,2,1.0
26,3,1.0
27,0,1.0
27,2,1.0
28,0,1.0
28,3,1.0
29,0,1.0
30,0,1.0
31,3,1.0
32,2,1.0
33,2,1.0
34,0,1.0
34,3,1.0
35,2,1.0
36,0,1.0
36,2,1.0
36,3,1.0
37,2,1.0
37,3,1.0
38,0,1.0
38,2,1.0
39,0,1.0
39,2,1.0
39,3,1.0
40,0,1.0
40,2,1.0
40,3,1.0
41,0,1.0
41,2,1.0
42,0,1.0
43,2,1.0
43,3,1.0
44,2,1.0
45,0,1.0
45,2,1.0
45,3,1.0
46,0,1.0
46,2,1.0
47,2,1.0
47,3,1.0
48,3,1.0
49,2,1.0
49,3,1.0
50,2,1.0
50,3,1.0
51,0,1.0
51,2,1.0
51,3,1.0
52,2,1.0
53,0,1.0
53,2,1.0
54,3,1.0
55,0,1.0
55,2,1.0
55,3,1.0
56,2,1.0
56,3,1.0
57,0,1.0
57,2,1.0
58,0,1.0
58,2,1.0
59,2,1.0
60,0,1.0
60,2,1.0
60,3,1.0
61,2,1.0
62,0,1.0
62,2,1.0
63,0,1.0
63,2,1.0
63,3,1.0
64,0,1.0
64,2,1.0
65,0,1.0
65,2,1.0
65,3,1.0
66,0,1.0
66,3,1.0
68,3,1.0
69,2,1.0
70,2,1.0
70,3,1.0
71,0,1.0
71,2,1.0
72,2,1.0
73,0,1.0
73,3,1.0
74,2,1.0
74,3,1.0
75,2,1.0
76,2,1.0
76,3,1.0
77,0,1.0
77,2,1.0
77,3,1.0
78,3,1.0
80,2,1.0
81,2,1.0
81,3,1.0
82,0,1.0
82,2,1.0
83,0,1.0
84,2,1.0
84,3,1.0
85,0,1.0
85,2,1.0
86,0,1.0
86,2,1.0
86,3,1.0
87,0,1.0
87,2,1.0
87,3,1.0
88,0,1.0
88,2,1.0
89,0,1.0
89,2,1.0
90,2,1.0
90,3,1.0
91,2,1.0
91,3,1.0
92,0,1.0
92,2,1.0
93,2,1.0
94,2,1.0
94,3,1.0
95,0,1.0
95,2,1.0
96,2,1.0
97,0,1.0
97,2,1.0
97,3,1.0
98,0,1.0
98,2,1.0
99,0,1.0
99,2,1.0
100,0,1.0
100,2,1.0
100,3,1.0
102,2,1.0
103,2,1.0
103,3,1.0
104,0,1.0
104,2,1.0
104,3,1.0
106,2,1.0
106,3,1.0
107,0,1.0
107,3,1.0
109,0,1.0
109,2,1.0
109,3,1.0
110,0,1.0
110,2,1.0
111,2,1.0
112,0,1.0
112,2,1.0
113,0,1.0
113,2,1.0
114,0,1.0
114,2,1.0
114,3,1.0
115,2,1.0
115,3,1.0
116,2,1.0
117,2,1.0
118,0,1.0
118,2,1.0
119,0,1.0
119,2,1.0
119,3,1.0
120,2,1.0
121,2,1.0
122,0,1.0
122,2,1.0
123,0,1.0
123,2,1.0
124,0,1.0
124,2,1.0
125,0,1.0
125,2,1.0
126,3,1.0
127,2,1.0
128,2,1.0
129,0,1.0
129,3,1.0
130,2,1.0
130,3,1.0
131,0,1.0
132,0,1.0
132,2,1.0
132,3,1.0
133,0,1.0
133,2,1.0
134,0,1.0
134,2,1.0
134,3,1.0
135,2,1.0
135,3,1.0
136,2,1.0
137,2,1.0
137,3,1.0
138,0,1.0
138,2,1.0
139,0,1.0
140,0,1.0
140,3,1.0
141,2,1.0
142,0,1.0
142,2,1.0
142,3,1.0
143,0,1.0
143,2,1.0
145,0,1.0
145,2,1.0
145,3,1.0
146,0,1.0
146,2,1.0
147,0,1.0
147,2,1.0
147,3,1.0
148,0,1.0
149,0,1.0
149,2,1.0
149,3,1.0
150,0,1.0
150,2,1.0
151,0,1.0
151,2,1.0
152,2,1.0
153,2,1.0
154,2,1.0
154,3,1.0
155,0,1.0
155,2,1.0
155,3,1.0
156,3,1.0
157,2,1.0
158,0,1.0
158,2,1.0
158,3,1.0
159,0,1.0
159,2,1.0
159,3,1.0
160,0,1.0
160,2,1.0
160,3,1.0
161,2,1.0
162,2,1.0
163,2,1.0
163,3,1.0
164,3,1.0
165,2,1.0
165,3,1.0
168,2,1.0
169,2,1.0
170,3,1.0
172,0,1.0
172,2,1.0
173,2,1.0
174,2,1.0
175,0,1.0
175,2,1.0
175,3,1.0
176,2,1.0
177,2,1.0
178,2,1.0
179,2,1.0
180,2,1.0
181,0,1.0
181,2,1.0
182,2,1.0
183,0,1.0
183,2,1.0
184,0,1.0
184,2,1.0
185,0,1.0
185,2,1.0
186,1,1.0
186,2,1.0
187,0,1.0
189,2,1.0
191,3,1.0
192,0,1.0
192,2,1.0
192,3,1.0
193,0,1.0
193,2,1.0
193,3,1.0
194,0,1.0
194,2,1.0
194,3,1.0
195,2,1.0
196,2,1.0
197,0,1.0
197,2,1.0
197,3,1.0
198,0,1.0
199,0,1.0
199,2,1.0
200,0,1.0
201,2,1.0
201,3,1.0
202,0,1.0
202,2,1.0
202,3,1.0
203,0,1.0
203,2,1.0
204,0,1.0
204,2,1.0
205,0,1.0
205,3,1.0
206,0,1.0
206,2,1.0
206,3,1.0
207,2,1.0
207,3,1.0
208,0,1.0
208,2,1.0
208,3,1.0
209,2,1.0
209,3,1.0
210,0,1.0
212,0,1.0
212,2,1.0
212,3,1.0
214,2,1.0
215,0,1.0
216,2,1.0
217,3,1.0
218,2,1.0
219,0,1.0
219,2,1.0
219,3,1.0
220,0,1.0
220,2,1.0
221,0,1.0
221,2,1.0
222,2,1.0
223,0,1.0
223,2,1.0
224,0,1.0
224,2,1.0
225,0,1.0
225,2,1.0
225,3,1.0
226,0,1.0
226,2,1.0
227,2,1.0
227,3,1.0
228,2,1.0
228,3,1.0
229,0,1.0
229,2,1.0
229,3,1.0
233,0,1.0
233,2,1.0
234,0,1.0
234,2,1.0
234,3,1.0
235,2,1.0
236,0,1.0
236,2,1.0
237,2,1.0
238,0,1.0
238,2,1.0
238,3,1.0
239,2,1.0
240,0,1.0
240,2,1.0
240,3,1.0
241,0,1.0
241,2,1.0
241,3,1.0
242,2,1.0
242,3,1.0
243,0,1.0
243,2,1.0
244,0,1.0
244,3,1.0
245,2,1.0
246,0,1.0
246,2,1.0
247,2,1.0
247,3,1.0
248,0,1.0
248,2,1.0
249,0,1.0
249,3,1.0
250,0,1.0
250,3,1.0
251,0,1.0
251,2,1.0
252,3,1.0
253,2,1.0
253,3,1.0
254,0,1.0
254,2,1.0
254,3,1.0
255,0,1.0
255,2,1.0
255,3,1.0
256,3,1.0
257,1,1.0
257,2,1.0
258,0,1.0
258,2,1.0
259,2,1.0
259,3,1.0
260,1,1.0
260,2,1.0
262,2,1.0
263,2,1.0
264,2,1.0
267,0,1.0
267,2,1.0
267,3,1.0
269,0,1.0
269,2,1.0
269,3,1.0
270,2,1.0
270,3,1.0
273,0,1.0
273,2,1.0
275,0,1.0
275,3,1.0
276,2,1.0
276,3,1.0
277,0,1.0
277,2,1.0
277,3,1.0
278,0,1.0
278,3,1.0
279,2,1.0
279,3,1.0
281,2,1.0
282,3,1.0
283,0,1.0
283,3,1.0
284,2,1.0
285,2,1.0
285,3,1.0
286,0,1.0
286,2,1.0
287,2,1.0
288,2,1.0
288,3,1.0
289,3,1.0
290,2,1.0
290,3,1.0
291,2,1.0
291,3,1.0
292,0,1.0
292,3,1.0
293,2,1.0
294,2,1.0
295,0,1.0
295,2,1.0
295,3,1.0
297,0,1.0
297,2,1.0
298,0,1.0
299,0,1.0
299,2,1.0
299,3,1.0
300,0,1.0
300,2,1.0
300,3,1.0
301,3,1.0
302,0,1.0
302,2,1.0
303,0,1.0
303,3,1.0
304,2,1.0
305,0,1.0
305,2,1.0
305,3,1.0
306,0,1.0
306,2,1.0
306,3,1.0
307,2,1.0
308,2,1.0
308,3,1.0
309,0,1.0
309,2,1.0
310,2,1.0
311,0,1.0
311,2,1.0
311,3,1.0
312,2,1.0
313,2,1.0
313,3,1.0
315,2,1.0
316,2,1.0
317,3,1.0
318,2,1.0
319,0,1.0
319,2,1.0
320,0,1.0
320,3,1.0
321,2,1.0
322,3,1.0
323,2,1.0
324,0,1.0
324,2,1.0
324,3,1.0
325,2,1.0
326,0,1.0
326,2,1.0
327,2,1.0
327,3,1.0
328,0,1.0
328,2,1.0
328,3,1.0
329,2,1.0
329,3,1.0
330,0,1.0
330,2,1.0
330,3,1.0
331,3,1.0
332,0,1.0
333,2,1.0
333,3,1.0
334,2,1.0
335,3,1.0
336,0,1.0
336,2,1.0
338,0,1.0
338,2,1.0
339,0,1.0
339,3,1.0
340,2,1.0
341,0,1.0
341,1,1.0
341,2,1.0
343,0,1.0
343,2,1.0
345,0,1.0
345,2,1.0
345,3,1.0
346,3,1.0
347,2,1.0
347,3,1.0
348,2,1.0
348,3,1.0
349,2,1.0
350,2,1.0
351,0,1.0
351,3,1.0
352,0,1.0
352,2,1.0
352,3,1.0
353,0,1.0
353,2,1.0
354,0,1.0
354,2,1.0
354,3,1.0
355,0,1.0
355,2,1.0
355,3,1.0
356,2,1.0
357,2,1.0
358,0,1.0
358,2,1.0
359,2,1.0
359,3,1.0
360,2,1.0
360,3,1.0
361,0,1.0
361,2,1.0
362,0,1.0
362,2,1.0
362,3,1.0
363,2,1.0
363,3,1.0
364,2,1.0
365,0,1.0
365,2,1.0
365,3,1.0
366,2,1.0
367,2,1.0
368,0,1.0
368,2,1.0
368,3,1.0
369,0,1.0
369,2,1.0
370,0,1.0
370,2,1.0
370,3,1.0
371,0,1.0
371,2,1.0
371,3,1.0
372,0,1.0
372,2,1.0
373,2,1.0
374,0,1.0
374,2,1.0
375,0,1.0
375,2,1.0
375,3,1.0
376,2,1.0
377,0,1.0
377,2,1.0
378,0,1.0
378,2,1.0
379,3,1.0
380,0,1.0
380,2,1.0
380,3,1.0
381,0,1.0
381,2,1.0
381,3,1.0
382,0,1.0
382,1,1.0
382,2,1.0
383,2,1.0
385,0,1.0
385,2,1.0
386,0,1.0
386,2,1.0
386,3,1.0
387,2,1.0
387,3,1.0
388,0,1.0
388,2,1.0
388,3,1.0
390,0,1.0
390,2,1.0
390,3,1.0
391,2,1.0
392,2,1.0
393,2,1.0
393,3,1.0
394,0,1.0
394,2,1.0
394,3,1.0
395,2,1.0
396,2,1.0
396,3,1.0
397,0,1.0
397,2,1.0
398,0,1.0
399,0,1.0
399,2,1.0
400,2,1.0
400,3,1.0
401,0,1.0
401,2,1.0
403,3,1.0
405,3,1.0
406,2,1.0
406,3,1.0
407,0,1.0
407,2,1.0
408,2,1.0
409,0,1.0
411,2,1.0
411,3,1.0
412,0,1.0
412,3,1.0
413,0,1.0
413,2,1.0
414,0,1.0
414,2,1.0
414,3,1.0
415,3,1.0
416,0,1.0
416,2,1.0
416,3,1.0
417,2,1.0
418,2,1.0
419,0,1.0
419,2,1.0
419,3,1.0
421,2,1.0
421,3,1.0
422,0,1.0
422,2,1.0
